Fecha,Agente Representante,Total Generado
2022-01-02,ELECTRIFICADORA DEL META S.A. E.S.P.,6.0
2022-01-02,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,483417.20000000007
2022-01-02,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,169406.72
2022-01-02,EMPRESA GENERADORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA DE COLOMBIA S.A. E.S.P.,9967.279999999999
2022-01-02,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,86018.0
2022-01-02,EMPRESA URRA S.A. E.S.P.,1905872.28
2022-01-02,EMPRESAS PUBLICAS DE CALARCA ESP,35303.03
2022-01-02,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,39999618.23
2022-01-02,ENEL COLOMBIA SA ESP,22050000.37
2022-01-02,ENERCO S.A. E.S.P.,90588.0
2022-01-02,ENERGETICA S.A. E.S.P.,12018.44
2022-01-02,ENERGIA DEL RIO PIEDRAS S.A. E.S.P,175814.40000000002
2022-01-02,ENERGIA DEL SUROESTE S.A. E.S.P.,136019.03
2022-01-02,ENERGIA RENOVABLE DE COLOMBIA S.A. E.S.P.,46558.71
2022-01-02,ESPACIO PRODUCTIVO S.A.S. E.S.P.,193671.45
2022-01-02,FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,7061.620000000001
2022-01-02,GENERADORA ALEJANDRIA S.A.S. E.S.P.,265257.0
2022-01-02,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,10865953.719999999
2022-01-02,GENERPUTUMAYO S.A.S. E.S.P.,14391.81
2022-01-02,GENERSA S.A.S. E.S.P.,245340.0
2022-01-02,GESTION ENERGETICA S.A. E.S.P.,2108748.0
2022-01-02,HIDROELECTRICA BARRANCAS SAS ESP,61527.0
2022-01-02,HIDROELECTRICA DEL ALTO PORCE S.A.S. E.S.P.,2063937.95
2022-01-02,HIDROTOLIMA S.A. E.S.P.,182524.33000000002
2022-01-02,HZ ENERGY S.A.S. E.S.P.,83762.22
2022-01-02,IAC ENERGY S.A.S. E.S.P.,54124.21
2022-01-02,ISAGEN S.A. E.S.P.,43544169.72
2022-01-02,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,217929.2
2022-01-02,P.CH EL COCUYO SAS ESP,9162.25
2022-01-02,PROELECTRICA S.A.S E.S.P.,282239.06
2022-01-02,PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.,586656.0
2022-01-02,RIOPAILA ENERGÍA S.A.S. E.S.P.,46.8
2022-01-02,RISARALDA ENERGIA S.A.S. E.S.P.,371417.0
2022-01-02,SANTA FE ENERGY ZOMAC S.A.S. E.S.P.,7429.84
2022-01-02,SPECTRUM RENOVAVEIS S.A.S. E.S.P.,18580.32
2022-01-02,TERMO MECHERO MORRO S.A.S E.S.P ,1386440.73
2022-01-02,TERMOBARRANQUILLA S.A. EMPRESA DE SERVICIOS PUBLICOS,8575965.09
2022-01-02,TERMONORTE S.A.S. E.S.P.,551864.6
2022-01-02,TERMOPIEDRAS S.A. E.S.P.,77771.32
2022-01-02,TERMOTASAJERO DOS S.A. E.S.P. ,3162919.0999999996
2022-01-02,TERMOTASAJERO S.A. E.S.P.,2211438.7300000004
2022-01-02,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,3513205.69
2022-01-02,VATIA S.A. E.S.P.,418874.71
2022-01-03,4E GROUP S.A.S E.S.P.,18779.4
2022-01-03,AES COLOMBIA & CIA. S.C.A. E.S.P.,1123659.6400000001
2022-01-03,ATLÁNTICA COLOMBIA S.A.S. E.S.P.,148873.72
2022-01-03,AURES BAJO S.A.S. E.S.P.,374157.80000000005
2022-01-03,BIOGAS COLOMBIA S.A.S. E.S.P ,13503.48
2022-01-03,CCG ENERGY S.A.S. E.S.P.,15865.0
2022-01-03,CELSIA COLOMBIA S.A. E.S.P.,16985496.29
2022-01-03,CENTRAL HIDROELÉCTRICA CONCORDIA S.A.S. E.S.P.,86022.2
2022-01-03,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,602885.5700000001
2022-01-03,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,249630.31999999998
2022-01-03,COMPAÑÍA ELÉCTRICA DE SOCHAGOTA  S.A. E.S.P.,3658818.34
2022-01-03,COMPAÑÍA INTEGRAL ENERGETICA S.A.S E.S.P,14057.470000000001
2022-01-03,DEPI ENERGY S.A.S. E.S.P.,25094.010000000002
2022-01-03,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,43242.94
2022-01-03,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,501677.17
2022-01-03,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,160349.68
2022-01-03,EMPRESA GENERADORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA DE COLOMBIA S.A. E.S.P.,10056.29
2022-01-03,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,95215.0
2022-01-03,EMPRESA URRA S.A. E.S.P.,1907059.45
2022-01-03,EMPRESAS PUBLICAS DE CALARCA ESP,35263.17
2022-01-03,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,50044410.45
2022-01-03,ENEL COLOMBIA SA ESP,37055989.79
2022-01-03,ENERCO S.A. E.S.P.,78618.08999999998
2022-01-03,ENERGETICA S.A. E.S.P.,11186.87
2022-01-03,ENERGIA DEL RIO PIEDRAS S.A. E.S.P,175790.4
2022-01-03,ENERGIA DEL SUROESTE S.A. E.S.P.,160200.19999999998
2022-01-03,ENERGIA RENOVABLE DE COLOMBIA S.A. E.S.P.,44430.869999999995
2022-01-03,ESPACIO PRODUCTIVO S.A.S. E.S.P.,176138.09999999998
2022-01-03,FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,7035.0599999999995
2022-01-03,GENERADORA ALEJANDRIA S.A.S. E.S.P.,187008.0
2022-01-03,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,12031224.42
2022-01-03,GENERPUTUMAYO S.A.S. E.S.P.,14522.210000000003
2022-01-03,GENERSA S.A.S. E.S.P.,226242.0
2022-01-03,GESTION ENERGETICA S.A. E.S.P.,2435892.0
2022-01-03,HIDROELECTRICA BARRANCAS SAS ESP,56247.0
2022-01-03,HIDROELECTRICA DEL ALTO PORCE S.A.S. E.S.P.,2127759.46
2022-01-03,HIDROTOLIMA S.A. E.S.P.,175527.02000000002
2022-01-03,HZ ENERGY S.A.S. E.S.P.,55262.99
2022-01-03,IAC ENERGY S.A.S. E.S.P.,55305.329999999994
2022-01-03,ISAGEN S.A. E.S.P.,40396130.97
2022-01-03,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,440585.72
2022-01-03,P.CH EL COCUYO SAS ESP,9437.32
2022-01-03,PRIME TERMOFLORES S.A.S. E.S.P.,1469078.5199999998
2022-01-03,PROELECTRICA S.A.S E.S.P.,244968.55
2022-01-03,PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.,268920.0
2022-01-03,RIOPAILA ENERGÍA S.A.S. E.S.P.,72091.19999999998
2022-01-03,RISARALDA ENERGIA S.A.S. E.S.P.,261775.0
2022-01-03,SANTA FE ENERGY ZOMAC S.A.S. E.S.P.,10036.4
2022-01-03,SPECTRUM RENOVAVEIS S.A.S. E.S.P.,19161.120000000003
2022-01-03,TERMO MECHERO MORRO S.A.S E.S.P ,1384752.53
2022-01-03,TERMOBARRANQUILLA S.A. EMPRESA DE SERVICIOS PUBLICOS,8088967.11
2022-01-03,TERMONORTE S.A.S. E.S.P.,748844.3
2022-01-03,TERMOPIEDRAS S.A. E.S.P.,74798.83
2022-01-03,TERMOTASAJERO DOS S.A. E.S.P. ,3602436.5500000003
2022-01-03,TERMOTASAJERO S.A. E.S.P.,3387131.83
2022-01-03,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,3515914.7700000005
2022-01-03,VATIA S.A. E.S.P.,437948.15
2022-01-04,4E GROUP S.A.S E.S.P.,18678.6
2022-01-04,AES COLOMBIA & CIA. S.C.A. E.S.P.,22005680.889999997
2022-01-04,ATLÁNTICA COLOMBIA S.A.S. E.S.P.,159323.21
2022-01-04,AURES BAJO S.A.S. E.S.P.,347222.9
